"id","nomor_ulok","lingkup_pekerjaan","nama_toko","kode_toko","proyek","cabang","alamat","nama_kontraktor"
1405,"2JZ1-2604-X098-R",ME,KOPO CISARUA,,Renovasi,CIANJUR,"JL. RAYA PUNCAK NO.547 RT.004 RW.002, KEL LEUWIMALANG, KEC CISARUA",CV TECHNO ARTHA UTAMA
1406,"1AZ1-2604-0003",Sipil,SOREK RAYA,"1AKY",Alfamart Reguler,PEKANBARU,JL. Raya Sorek Pelalawan,PT PILAR MANDALA PERKASA
1407,"1AZ1-2604-0003",ME,SOREK RAYA,"1AKY",Alfamart Reguler,PEKANBARU,Jl. Raya Sorek Pelalawan,PT PILAR MANDALA PERKASA
1408,"1MZ1-2604-1M8U-R",ME,SRENGSENG SAWAH 3,,Renovasi,PARUNG,"JL. RAYA SRENGSENG NO. 87, RT. 002, RW. 07 KEL. SRENGSENG SAWAH,  KEC. JAGAKARSA JAKARTA SELATAN",PT SAGAR PUTRA KREASI
1409,"1JZ1-2604-1JR4-R",Sipil,KONDANGJAYA,,Renovasi,KARAWANG,DUSUN KRAJAN II NO.108 RT.04 RW.002 DESA.KONDANGJAYA KEC.KARAWANG TIMUR KAB.KARAWANG,CV TANJUNG MEKARSARI
1410,"2MZ1-2604-0409-R",ME,PERINTIS KEMERDEKAAN_SRAGEN,,Renovasi,MADIUN,JL.PERINTIS KEMERDEKAAN NO.3B RT.21 RW.07 KEL.SRAGEN WETAN KEC.SRAGEN KAB.SRAGEN,PT KANIGORO KARYA KONSTRUKSI
1411,RZ01-2604-0004,Sipil,TAMALAYYANG GOWA,,Alfamart Reguler,MAKASSAR,Jl.Poros Gowa Takalar Tamalayyang Kec.Bontonompo Kab.Gowa,CV RESKY PRATAMA
1412,MZ01-2603-0003,Sipil,Alfamart RADEN PRAYITNO,,Alfamart Reguler,MALANG,Jl. Raden Prayitno Kel. Kedung Pedaringan Kec. Kepanjen Kab. Malang,CV WEDYAKARYA
1413,"1YZ1-2604-0003-R",Sipil,MAWALI LEMBEH,,Renovasi,MANADO,Jl. Mawali Kelurahan Mawali Kec. Lembeh Utara Kota Bitung,CV CAHAYA FIRATAMA
1414,"2MZ1-2601-0004",Sipil,SAT PLOSOKEREP SRAGEN,,Alfamart Reguler,MADIUN,"Jl. Jurang Jero Kidul, Kel. Plosokerep, Kec. Karangmalang, Kab. Sragen",CV PUSPA JAYA
1415,"2MZ1-2601-0004",ME,SAT PLOSOKEREP SRAGEN,,Alfamart Reguler,MADIUN,"Jl. Jurang Jero Kidul, Kel. Plosokerep, Kec. Karangmalang, Kab. Sragen",CV PUSPA JAYA
1416,RZ01-2604-0004,ME,TAMALAYYANG GOWA,,Alfamart Reguler,MAKASSAR,Jl.Poros Gowa Takalar Tamalayyang kec.bontonompo kab.Gowa,CV RESKY PRATAMA
1417,TZ01-2604-AC92-R,Sipil,Pahlawan Seribu OLD,,Renovasi,BALARAJA,"Jl. Pahlawan Seribu Kel. Lengkong Gudang, Kec. Serpong Utara, Kota Tangerang Selatan",PT ONTOSENO BAYUAJI
1418,WZ01-2602-0009,Sipil,TANGGUK BONGKAR,,Alfamart Reguler,MEDAN,"JALAN TANGGUK BONGKAR KEL. TEGAL SARI MANDALA II, KEC. MEDAN DENAI, KOTA MEDAN",CV MUTIARA BIRO JASA
1419,"2MZ1-2511-0009",Sipil,SAT BENER SRAGEN,,Alfamart Reguler,MADIUN,JL. Raya timur Kebayanan pedakan Kel. benner Kec. Ngrampal,CV PUSPA JAYA
1420,"2MZ1-2511-0009",ME,SAT BENER SRAGEN,,Alfamart Reguler,MADIUN,JL. Raya timur Kebayanan pedakan Kel. benner Kec. Ngrampal,CV PUSPA JAYA
