ULOK,Nama Toko,Cabang,SPK End,ST Date,Has ST,Old Denda Days,Old Denda Amount,New Denda Days,New Denda Amount,Impact Days,Impact Amount,Impact Type,Skipped Days,Skipped Weekends,Skipped Holidays,Explanation
2JZ1-2603-0002,"REST AREA ASSALAM",CIANJUR,2026-05-02,2026-04-30,Yes,0,0,0,0,0,0,NO_CHANGE,1,1,0,"SPK+1 (1 weekend)"
2JZ1-2603-0002,"REST AREA ASSALAM",CIANJUR,2026-05-02,2026-04-30,Yes,0,0,0,0,0,0,NO_CHANGE,1,1,0,"SPK+1 (1 weekend)"
WZ01-2602-0026,"RINGROAD SUNGGAL",MEDAN,2026-05-02,2026-06-29,Yes,56,7500000,56,7500000,0,0,NO_CHANGE,1,1,0,"SPK+1 (1 weekend)"
WZ01-2602-0026,"RINGROAD SUNGGAL",MEDAN,2026-05-02,2026-06-30,Yes,0,0,57,7500000,57,7500000,INCREASE,1,1,0,"SPK+1 (1 weekend)"
2SZ1-2507-0011,"IRIGASI BOLANGO",GORONTALO,2026-05-03,,No,0,0,0,0,0,0,NO_CHANGE,0,0,0,"SPK (tidak ada skip)"
2SZ1-2507-0011,"IRIGASI BOLANGO",GORONTALO,2026-05-03,,No,0,0,0,0,0,0,NO_CHANGE,0,0,0,"SPK (tidak ada skip)"
2PZ1-2508-0007,"MT HARYONO BARU",TEGAL,2026-05-05,2026-05-08,Yes,2,2000000,2,2000000,0,0,NO_CHANGE,0,0,0,"SPK (tidak ada skip)"
2PZ1-2508-0007,"MT Haryono Baru",TEGAL,2026-05-05,2026-05-08,Yes,0,0,2,2000000,2,2000000,INCREASE,0,0,0,"SPK (tidak ada skip)"
IZ01-2602-0001,"WIRUN (NEW STORE REG)",CILACAP,2026-05-06,2026-04-20,Yes,0,0,0,0,0,0,NO_CHANGE,0,0,0,"SPK (tidak ada skip)"
1PZ1-1412-1P57-R,"PEMBANGUNAN SANGGAU",PONTIANAK,2026-05-06,,No,0,0,0,0,0,0,NO_CHANGE,0,0,0,"SPK (tidak ada skip)"
1PZ1-2422-1P57-R,"PEMBANGUNAN SANGGAU",PONTIANAK,2026-05-06,,No,0,0,0,0,0,0,NO_CHANGE,0,0,0,"SPK (tidak ada skip)"
XZ01-2601-XC19-R,"BRIGJEN SAPTAJI NO 3",BOGOR,2026-05-06,,No,0,0,0,0,0,0,NO_CHANGE,0,0,0,"SPK (tidak ada skip)"
XZ01-2601-XC19-R,"BRIGJEN SAPTAJI NO 3",BOGOR,2026-05-06,,No,0,0,0,0,0,0,NO_CHANGE,0,0,0,"SPK (tidak ada skip)"
XZ01-2602-XB72-R,"PARUNG BANTENG",BOGOR,2026-05-06,2026-06-08,Yes,32,7500000,32,7500000,0,0,NO_CHANGE,0,0,0,"SPK (tidak ada skip)"
IZ01-2602-0006,"KALIDONAN",CILACAP,2026-05-07,2026-05-08,Yes,0,0,0,0,0,0,NO_CHANGE,0,0,0,"SPK (tidak ada skip)"
IZ01-2602-0006,"KALIDONAN",CILACAP,2026-05-07,2026-05-08,Yes,0,0,0,0,0,0,NO_CHANGE,0,0,0,"SPK (tidak ada skip)"
OZ01-2602-O010-R,"ALFAMART JL. PUCANGAN",KLATEN,2026-05-08,2026-07-03,Yes,53,7500000,53,7500000,0,0,NO_CHANGE,2,2,0,"SPK+2 (2 weekend)"
1AZ1-2601-0008-R,"LANGGAM PELALAWAN",PEKANBARU,2026-05-08,,No,0,0,0,0,0,0,NO_CHANGE,0,0,0,"SPK (tidak ada skip)"
1AZ1-2601-0008-R,"LANGGAM PELALAWAN",PEKANBARU,2026-05-08,,No,0,0,0,0,0,0,NO_CHANGE,0,0,0,"SPK (tidak ada skip)"
OZ01-2602-O010-R,"ALFAMART JL. PUCANGAN",KLATEN,2026-05-08,,No,0,0,0,0,0,0,NO_CHANGE,0,0,0,"SPK (tidak ada skip)"
1MZ1-2601-0001,"Jl H Jian",PARUNG,2026-05-09,,No,0,0,0,0,0,0,NO_CHANGE,1,1,0,"SPK+1 (1 weekend)"
